Rank ,Player,Age,Team,First,Pts Won,Pts Max,Share,Award,Year
10,Andre Drummond,22,DET,0,3,650,0.005,DPOY,15/16
11T,Jimmy Butler,26,CHI,0,2,650,0.003,DPOY,15/16
11T,LeBron James,31,CLE,0,2,650,0.003,DPOY,15/16
13T,Trevor Ariza,30,HOU,0,1,650,0.002,DPOY,15/16
13T,Jae Crowder,25,BOS,0,1,650,0.002,DPOY,15/16
13T,Al Horford,29,ATL,0,1,650,0.002,DPOY,15/16
13T,Kyle Lowry,29,TOR,0,1,650,0.002,DPOY,15/16
13T,Chris Paul,30,LAC,0,1,650,0.002,DPOY,15/16
1,Jamal Crawford,35,LAC,51,341,650,0.525,6MOY,15/16
2,Andre Iguodala,32,GSW,33,288,650,0.443,6MOY,15/16
3,Enes Freedom,23,OKC,19,182,650,0.28,6MOY,15/16
4,Will Barton,25,DEN,15,158,650,0.243,6MOY,15/16
5,Evan Turner,27,BOS,3,46,650,0.071,6MOY,15/16
6,Ryan Anderson,27,NOP,4,43,650,0.066,6MOY,15/16
7,Jeremy Lin,27,CHO,1,30,650,0.046,6MOY,15/16
8,Ed Davis,26,POR,1,21,650,0.032,6MOY,15/16
9,Dennis Schröder,22,ATL,1,17,650,0.026,6MOY,15/16
10,Tristan Thompson,24,CLE,2,16,650,0.025,6MOY,15/16
11,Shaun Livingston,30,GSW,0,7,650,0.011,6MOY,15/16
12T,J.J. Barea,31,DAL,0,5,650,0.008,6MOY,15/16
12T,Boris Diaw,33,SAS,0,5,650,0.008,6MOY,15/16
14,Zach LaVine,20,MIN,0,4,650,0.006,6MOY,15/16
15,Darren Collison,28,SAC,0,3,650,0.005,6MOY,15/16
16T,Allen Crabbe,23,POR,0,1,650,0.002,6MOY,15/16
16T,Jrue Holiday,25,NOP,0,1,650,0.002,6MOY,15/16
16T,Patrick Patterson,26,TOR,0,1,650,0.002,6MOY,15/16
16T,Mirza Teletović,30,PHO,0,1,650,0.002,6MOY,15/16
1,Stephen Curry,26,GSW,100,1198,1300,0.922,MVP,14/15
2,James Harden,25,HOU,25,936,1300,0.72,MVP,14/15
3,LeBron James,30,CLE,5,552,1300,0.425,MVP,14/15
4,Russell Westbrook,26,OKC,0,352,1300,0.271,MVP,14/15
5,Anthony Davis,21,NOP,0,203,1300,0.156,MVP,14/15
6,Chris Paul,29,LAC,0,124,1300,0.095,MVP,14/15
7,LaMarcus Aldridge,29,POR,0,6,1300,0.005,MVP,14/15
8T,Marc Gasol,30,MEM,0,3,1300,0.002,MVP,14/15
8T,Blake Griffin,25,LAC,0,3,1300,0.002,MVP,14/15
10T,Tim Duncan,38,SAS,0,1,1300,0.001,MVP,14/15
10T,Kawhi Leonard,23,SAS,0,1,1300,0.001,MVP,14/15
10T,Klay Thompson,24,GSW,0,1,1300,0.001,MVP,14/15
1,Andrew Wiggins,19,MIN,110,604,650,0.929,ROTY,14/15
2,Nikola Mirotić,23,CHI,14,335,650,0.515,ROTY,14/15
3,Nerlens Noel,20,PHI,3,141,650,0.217,ROTY,14/15
4,Elfrid Payton,20,ORL,3,79,650,0.122,ROTY,14/15
5,Marcus Smart,20,BOS,0,6,650,0.009,ROTY,14/15
6,Jusuf Nurkić,20,DEN,0,3,650,0.005,ROTY,14/15
7,Jordan Clarkson,22,LAL,0,2,650,0.003,ROTY,14/15
1,Kawhi Leonard,23,SAS,37,333,645,0.516,DPOY,14/15
2,Draymond Green,24,GSW,45,317,645,0.491,DPOY,14/15
3,DeAndre Jordan,26,LAC,32,261,645,0.405,DPOY,14/15
4,Anthony Davis,21,NOP,11,107,645,0.166,DPOY,14/15
5,Rudy Gobert,22,UTA,2,33,645,0.051,DPOY,14/15
6,Andrew Bogut,30,GSW,0,31,645,0.048,DPOY,14/15
7,Tony Allen,33,MEM,1,29,645,0.045,DPOY,14/15
8,Tim Duncan,38,SAS,1,12,645,0.019,DPOY,14/15
9,Michael Kidd-Gilchrist,21,CHO,0,9,645,0.014,DPOY,14/15
10T,Jimmy Butler,25,CHI,0,7,645,0.011,DPOY,14/15
10T,Marc Gasol,30,MEM,0,7,645,0.011,DPOY,14/15
12,Joakim Noah,29,CHI,0,4,645,0.006,DPOY,14/15
13T,Trevor Ariza,29,HOU,0,3,645,0.005,DPOY,14/15
13T,LeBron James,30,CLE,0,3,645,0.005,DPOY,14/15
15T,Patrick Beverley,26,HOU,0,1,645,0.002,DPOY,14/15
15T,DeMarre Carroll,28,ATL,0,1,645,0.002,DPOY,14/15
15T,Nerlens Noel,20,PHI,0,1,645,0.002,DPOY,14/15
15T,Chris Paul,29,LAC,0,1,645,0.002,DPOY,14/15
15T,Hassan Whiteside,25,MIA,0,1,645,0.002,DPOY,14/15
1,Lou Williams,28,TOR,78,502,650,0.772,6MOY,14/15
2,Isaiah Thomas,25,TOT,33,324,650,0.498,6MOY,14/15
3,Jamal Crawford,34,LAC,8,131,650,0.202,6MOY,14/15
4,Andre Iguodala,31,GSW,7,100,650,0.154,6MOY,14/15
5,Tristan Thompson,23,CLE,0,33,650,0.051,6MOY,14/15
6,Nikola Mirotić,23,CHI,1,24,650,0.037,6MOY,14/15
7,Marreese Speights,27,GSW,1,20,650,0.031,6MOY,14/15
8T,Corey Brewer,28,TOT,1,12,650,0.018,6MOY,14/15
8T,Manu Ginóbili,37,SAS,0,12,650,0.018,6MOY,14/15
10,Taj Gibson,29,CHI,1,8,650,0.012,6MOY,14/15
11T,Aaron Brooks,30,CHI,0,1,650,0.002,6MOY,14/15
11T,Chris Kaman,32,POR,0,1,650,0.002,6MOY,14/15
11T,Anthony Morrow,29,OKC,0,1,650,0.002,6MOY,14/15
11T,Dennis Schröder,21,ATL,0,1,650,0.002,6MOY,14/15
1,Kevin Durant,25,OKC,119,1232,1250,0.986,MVP,13/14
2,LeBron James,29,MIA,6,891,1250,0.713,MVP,13/14
3,Blake Griffin,24,LAC,0,434,1250,0.347,MVP,13/14
4,Joakim Noah,28,CHI,0,322,1250,0.258,MVP,13/14
5,James Harden,24,HOU,0,85,1250,0.068,MVP,13/14
6,Stephen Curry,25,GSW,0,66,1250,0.053,MVP,13/14
7,Chris Paul,28,LAC,0,45,1250,0.036,MVP,13/14
8,Al Jefferson,29,CHA,0,34,1250,0.027,MVP,13/14
9,Paul George,23,IND,0,33,1250,0.026,MVP,13/14
10,LaMarcus Aldridge,28,POR,0,26,1250,0.021,MVP,13/14
11,Kevin Love,25,MIN,0,25,1250,0.02,MVP,13/14
12T,Tim Duncan,37,SAS,0,21,1250,0.017,MVP,13/14
12T,Tony Parker,31,SAS,0,21,1250,0.017,MVP,13/14
14,Dirk Nowitzki,35,DAL,0,7,1250,0.006,MVP,13/14
15,Carmelo Anthony,29,NYK,0,4,1250,0.003,MVP,13/14
16,Goran Dragić,27,PHO,0,3,1250,0.002,MVP,13/14
17,Mike Conley,26,MEM,0,1,1250,0.001,MVP,13/14
1,Michael Carter-Williams,22,PHI,104,569,620,0.918,ROTY,13/14
2,Victor Oladipo,21,ORL,16,364,620,0.587,ROTY,13/14
3,Trey Burke,21,UTA,1,96,620,0.155,ROTY,13/14
4,Mason Plumlee,23,BRK,2,58,620,0.094,ROTY,13/14
5,Tim Hardaway Jr.,21,NYK,1,23,620,0.037,ROTY,13/14
6,Gorgui Dieng,24,MIN,0,3,620,0.005,ROTY,13/14
7T,Steven Adams,20,OKC,0,1,620,0.002,ROTY,13/14
7T,Giannis Antetokounmpo,19,MIL,0,1,620,0.002,ROTY,13/14
7T,Nick Calathes,24,MEM,0,1,620,0.002,ROTY,13/14
1,Joakim Noah,28,CHI,100,555,625,0.888,DPOY,13/14
2,Roy Hibbert,27,IND,8,166,625,0.266,DPOY,13/14
3,DeAndre Jordan,25,LAC,8,121,625,0.194,DPOY,13/14
4,Serge Ibaka,24,OKC,2,79,625,0.126,DPOY,13/14
5,Andre Iguodala,30,GSW,1,47,625,0.075,DPOY,13/14
6,LeBron James,29,MIA,2,31,625,0.05,DPOY,13/14
7,Paul George,23,IND,0,30,625,0.048,DPOY,13/14
8T,Anthony Davis,20,NOP,1,25,625,0.04,DPOY,13/14
8T,Dwight Howard,28,HOU,1,25,625,0.04,DPOY,13/14
10,Andrew Bogut,29,GSW,1,11,625,0.018,DPOY,13/14
11,Kawhi Leonard,22,SAS,0,9,625,0.014,DPOY,13/14
12,P.J. Tucker,28,PHO,1,6,625,0.01,DPOY,13/14
13T,Tim Duncan,37,SAS,0,5,625,0.008,DPOY,13/14
13T,Chris Paul,28,LAC,0,5,625,0.008,DPOY,13/14
15T,Trevor Ariza,28,WAS,0,4,625,0.006,DPOY,13/14
15T,Marc Gasol,29,MEM,0,4,625,0.006,DPOY,13/14
17,Patrick Beverley,25,HOU,0,2,625,0.003,DPOY,13/14
1,Jamal Crawford,33,LAC,57,421,625,0.674,6MOY,13/14
2,Taj Gibson,28,CHI,49,395,625,0.632,6MOY,13/14
3,Manu Ginóbili,36,SAS,9,138,625,0.221,6MOY,13/14
4,Markieff Morris,24,PHO,5,85,625,0.136,6MOY,13/14
5,Reggie Jackson,23,OKC,4,49,625,0.078,6MOY,13/14
6,Vince Carter,37,DAL,1,12,625,0.019,6MOY,13/14
7,D.J. Augustin,26,TOT,0,6,625,0.01,6MOY,13/14
8T,Enes Freedom,21,UTA,0,3,625,0.005,6MOY,13/14
8T,Dion Waiters,22,CLE,0,3,625,0.005,6MOY,13/14
8T,Nick Young,28,LAL,0,3,625,0.005,6MOY,13/14
11T,Chris Andersen,35,MIA,0,2,625,0.003,6MOY,13/14
11T,Marco Belinelli,27,SAS,0,2,625,0.003,6MOY,13/14
13T,Andray Blatche,27,BRK,0,1,625,0.002,6MOY,13/14
13T,Tim Hardaway Jr.,21,NYK,0,1,625,0.002,6MOY,13/14
13T,Patty Mills,25,SAS,0,1,625,0.002,6MOY,13/14
13T,Timofey Mozgov,27,DEN,0,1,625,0.002,6MOY,13/14
13T,Greivis Vásquez,27,TOT,0,1,625,0.002,6MOY,13/14
13T,Mo Williams,31,POR,0,1,625,0.002,6MOY,13/14
1,LeBron James,28,MIA,120,1207,1210,0.998,MVP,12/13
2,Kevin Durant,24,OKC,0,765,1210,0.632,MVP,12/13
3,Carmelo Anthony,28,NYK,1,475,1210,0.393,MVP,12/13
4,Chris Paul,27,LAC,0,289,1210,0.239,MVP,12/13
5,Kobe Bryant,34,LAL,0,184,1210,0.152,MVP,12/13
6,Tony Parker,30,SAS,0,86,1210,0.071,MVP,12/13
7,Tim Duncan,36,SAS,0,65,1210,0.054,MVP,12/13
8,James Harden,23,HOU,0,33,1210,0.027,MVP,12/13
9,Russell Westbrook,24,OKC,0,9,1210,0.007,MVP,12/13
10,Dwyane Wade,31,MIA,0,5,1210,0.004,MVP,12/13
11,Stephen Curry,24,GSW,0,3,1210,0.002,MVP,12/13
12T,Kevin Garnett,36,BOS,0,1,1210,0.001,MVP,12/13
12T,Marc Gasol,28,MEM,0,1,1210,0.001,MVP,12/13
12T,Ty Lawson,25,DEN,0,1,1210,0.001,MVP,12/13
12T,David Lee,29,GSW,0,1,1210,0.001,MVP,12/13
12T,Joakim Noah,27,CHI,0,1,1210,0.001,MVP,12/13
1,Damian Lillard,22,POR,121,605,605,1,ROTY,12/13
2,Anthony Davis,19,NOH,0,306,605,0.506,ROTY,12/13
3,Bradley Beal,19,WAS,0,94,605,0.155,ROTY,12/13
4,Andre Drummond,19,DET,0,36,605,0.06,ROTY,12/13
5,Dion Waiters,21,CLE,0,21,605,0.035,ROTY,12/13
6T,Harrison Barnes,20,GSW,0,8,605,0.013,ROTY,12/13
6T,Chris Copeland,28,NYK,0,8,605,0.013,ROTY,12/13
8,Michael Kidd-Gilchrist,19,CHA,0,3,605,0.005,ROTY,12/13
9,Jonas Valančiūnas,20,TOR,0,2,605,0.003,ROTY,12/13
10,John Jenkins,21,ATL,0,1,605,0.002,ROTY,12/13
1,Marc Gasol,28,MEM,30,212,605,0.35,DPOY,12/13
2,LeBron James,28,MIA,18,149,605,0.246,DPOY,12/13
3,Serge Ibaka,23,OKC,14,122,605,0.202,DPOY,12/13
4,Joakim Noah,27,CHI,13,107,605,0.177,DPOY,12/13
5,Tony Allen,31,MEM,9,102,605,0.169,DPOY,12/13
6,Tim Duncan,36,SAS,11,94,605,0.155,DPOY,12/13
7,Larry Sanders,24,MIL,4,90,605,0.149,DPOY,12/13
8,Paul George,22,IND,8,57,605,0.094,DPOY,12/13
9,Andre Iguodala,29,DEN,5,43,605,0.071,DPOY,12/13
10,Roy Hibbert,26,IND,3,36,605,0.06,DPOY,12/13
11,Chris Paul,27,LAC,2,19,605,0.031,DPOY,12/13
12,Avery Bradley,22,BOS,2,15,605,0.025,DPOY,12/13
13,Tyson Chandler,30,NYK,0,11,605,0.018,DPOY,12/13
14,Dwight Howard,27,LAL,1,9,605,0.015,DPOY,12/13
15,Luol Deng,27,CHI,1,6,605,0.01,DPOY,12/13
16,Dwyane Wade,31,MIA,0,4,605,0.007,DPOY,12/13
17T,Trevor Ariza,27,WAS,0,3,605,0.005,DPOY,12/13
17T,Jimmy Butler,23,CHI,0,3,605,0.005,DPOY,12/13
17T,Kenneth Faried,23,DEN,0,3,605,0.005,DPOY,12/13
17T,Russell Westbrook,24,OKC,0,3,605,0.005,DPOY,12/13
21,Mike Conley,25,MEM,0,1,605,0.002,DPOY,12/13
1,J.R. Smith,27,NYK,72,484,605,0.8,6MOY,12/13
2,Jamal Crawford,32,LAC,31,352,605,0.582,6MOY,12/13
3,Jarrett Jack,29,GSW,14,170,605,0.281,6MOY,12/13
4,Kevin Martin,29,OKC,2,31,605,0.051,6MOY,12/13
5,Ryan Anderson,24,NOH,1,11,605,0.018,6MOY,12/13
6,Andre Miller,36,DEN,0,7,605,0.012,6MOY,12/13
7,Jordan Crawford,24,TOT,1,5,605,0.008,6MOY,12/13
8T,Corey Brewer,26,DEN,0,4,605,0.007,6MOY,12/13
8T,Manu Ginóbili,35,SAS,0,4,605,0.007,6MOY,12/13
8T,Carl Landry,29,GSW,0,4,605,0.007,6MOY,12/13
8T,Nate Robinson,28,CHI,0,4,605,0.007,6MOY,12/13
12T,Shane Battier,34,MIA,0,2,605,0.003,6MOY,12/13
12T,Ramon Sessions,26,CHA,0,2,605,0.003,6MOY,12/13
14T,Luke Babbitt,23,POR,0,1,605,0.002,6MOY,12/13
14T,Vince Carter,36,DAL,0,1,605,0.002,6MOY,12/13
14T,Gordon Hayward,22,UTA,0,1,605,0.002,6MOY,12/13
14T,JJ Redick,28,TOT,0,1,605,0.002,6MOY,12/13
