,player,rank,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,season,experience,svm_distance,norm_svm_dist_score,first,share,pca_distance
68,Mouhamadou Gueye,643.0,PF,25.0,TOR,11.0,0.0,10.9,1.0,3.5,0.289,0.0,0.3,0.0,1.0,3.2,0.314,0.289,0.4,0.8,0.444,1.1,1.0,2.1,0.5,0.3,1.6,1.1,1.4,2.4,120.0,4.6,0.31,0.079,0.237,10.8,10.3,10.5,5.3,1.2,13.2,22.2,19.2,0.2,-0.4,-0.147,-11.0,-0.9,-11.9,-0.3,2024,1,,,,,
69,Mouhamed Gueye,545.0,PF,21.0,ATL,6.0,0.0,12.2,1.3,3.8,0.348,0.5,1.5,0.333,0.8,2.3,0.357,0.413,0.8,1.0,0.833,1.7,2.0,3.7,0.7,0.8,0.7,0.2,2.2,4.0,73.0,15.0,0.468,0.391,0.261,14.4,18.6,16.4,7.0,3.3,4.9,3.8,15.2,0.1,0.2,0.127,-2.1,0.6,-1.5,0.0,2024,1,,,,,
70,Nathan Mensah,697.0,C,25.0,CHO,25.0,0.0,12.3,0.5,1.1,0.429,0.0,0.0,0.0,0.5,1.1,0.429,0.429,0.4,0.5,0.75,1.2,1.4,2.6,0.4,0.2,0.6,0.6,2.6,1.3,307.0,5.0,0.496,0.0,0.429,10.3,13.6,11.9,3.7,1.0,4.3,29.6,6.8,0.2,0.1,0.023,-8.7,-0.1,-8.8,-0.5,2024,1,,,,,
71,Nick Smith Jr.,420.0,SG,19.0,CHO,51.0,0.0,14.3,2.2,5.7,0.391,1.2,2.9,0.432,1.0,2.8,0.35,0.5,0.3,0.3,0.867,0.4,1.1,1.4,1.2,0.2,0.1,0.8,1.1,5.9,729.0,8.1,0.511,0.505,0.052,2.7,8.6,5.5,12.0,0.7,0.9,11.7,20.3,0.1,-0.5,-0.036,-3.1,-2.8,-5.9,-0.7,2024,1,,,,,
72,Noah Clowney,425.0,PF,19.0,BRK,23.0,4.0,16.1,2.2,4.0,0.538,0.5,1.4,0.364,1.7,2.6,0.633,0.602,0.9,1.3,0.7,1.1,2.4,3.5,0.8,0.3,0.7,0.7,1.1,5.8,370.0,14.2,0.626,0.355,0.323,7.5,16.7,12.0,6.9,1.1,3.9,12.4,14.2,0.4,0.9,0.111,-0.8,0.1,-0.7,0.1,2024,1,,,,,
73,Olivier-Maxence Prosper,616.0,PF,21.0,DAL,40.0,1.0,8.4,1.0,2.6,0.385,0.3,1.1,0.289,0.7,1.5,0.458,0.447,0.7,1.0,0.683,0.6,1.4,2.0,0.6,0.2,0.1,0.2,0.5,3.0,336.0,11.6,0.496,0.433,0.394,8.2,17.5,12.8,8.4,1.0,1.0,6.2,16.6,0.3,0.5,0.076,-1.7,-1.3,-2.9,-0.1,2024,1,,,,,
74,Onuralp Bitim,590.0,SG,24.0,CHI,23.0,1.0,11.7,1.4,3.7,0.381,0.5,1.9,0.273,0.9,1.7,0.5,0.452,0.2,0.2,0.8,0.3,1.1,1.4,0.6,0.1,0.1,0.4,1.0,3.5,268.0,5.0,0.464,0.524,0.06,2.5,11.1,6.7,6.5,0.6,0.8,10.4,15.8,0.1,-0.1,-0.027,-5.4,-2.0,-7.4,-0.4,2024,1,,,,,
75,Oscar Tshiebwe,602.0,PF,24.0,IND,8.0,0.0,5.3,1.3,2.5,0.5,0.0,0.0,0.0,1.3,2.5,0.5,0.5,0.8,1.0,0.75,1.0,1.0,2.0,0.3,0.3,0.1,0.0,0.4,3.3,42.0,24.8,0.553,0.0,0.4,21.6,21.6,21.6,6.4,2.2,1.9,0.0,23.5,0.0,0.2,0.221,4.5,-2.3,2.2,0.0,2024,1,,,,,
76,Pat Spencer,715.0,PG,27.0,GSW,6.0,0.0,4.3,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.0,0.0,0.0,0.3,0.3,0.7,0.8,0.0,0.0,0.2,0.2,0.7,26.0,9.4,0.5,0.5,0.0,8.4,8.2,8.3,23.3,0.0,0.0,20.0,8.1,0.0,0.0,0.084,-3.4,-3.1,-6.4,0.0,2024,1,,,,,
77,Pete Nance,724.0,PF,23.0,CLE,8.0,0.0,3.4,0.1,0.8,0.167,0.1,0.1,1.0,0.0,0.6,0.0,0.25,0.0,0.3,0.0,0.0,0.4,0.4,0.0,0.1,0.0,0.1,0.3,0.4,27.0,-3.9,0.218,0.167,0.333,0.0,12.3,6.2,0.0,1.8,0.0,12.7,12.9,0.0,-0.1,-0.154,-11.9,-3.2,-15.2,-0.1,2024,1,,,,,
78,Rayan Rupert,557.0,SG,19.0,POR,39.0,12.0,16.2,1.4,4.1,0.335,0.7,2.0,0.359,0.7,2.1,0.313,0.422,0.5,0.6,0.76,0.6,1.7,2.4,1.6,0.3,0.1,0.8,1.4,4.0,633.0,5.8,0.451,0.484,0.155,4.0,12.8,8.1,13.5,0.9,0.4,15.3,13.6,0.3,-0.1,-0.009,-5.6,-1.2,-6.7,-0.8,2024,1,,,,,
79,Ricky Council IV,448.0,SG,22.0,PHI,32.0,0.0,9.0,1.7,3.5,0.482,0.4,1.0,0.375,1.3,2.5,0.525,0.536,1.7,2.2,0.746,0.4,1.0,1.4,0.5,0.3,0.0,0.2,0.5,5.4,289.0,18.6,0.604,0.286,0.634,5.3,12.4,8.8,8.2,1.4,0.3,3.4,22.1,0.3,1.0,0.173,2.1,-0.8,1.3,0.2,2024,1,,,,,
80,Sasha Vezenkov,451.0,PF,28.0,SAC,42.0,0.0,12.2,2.0,4.5,0.44,1.1,2.9,0.375,0.9,1.7,0.549,0.558,0.3,0.4,0.8,0.7,1.6,2.3,0.5,0.5,0.2,0.3,1.0,5.4,511.0,13.3,0.569,0.628,0.079,6.4,14.8,10.5,5.1,1.9,1.3,5.7,17.5,0.5,1.0,0.098,-0.2,-0.7,-0.9,0.1,2024,1,,,,,
81,Scoot Henderson,131.0,PG,19.0,POR,62.0,32.0,28.5,5.0,12.9,0.385,1.4,4.3,0.325,3.5,8.5,0.416,0.44,2.7,3.3,0.819,0.9,2.3,3.1,5.4,0.8,0.2,3.4,3.1,14.0,1765.0,9.5,0.489,0.336,0.256,3.2,9.5,6.2,29.9,1.3,0.7,19.3,26.5,0.9,-1.7,-0.045,-3.5,-2.3,-5.8,-1.7,2024,1,,,,,
82,Seth Lundy,677.0,SF,23.0,ATL,9.0,0.0,5.8,0.4,1.9,0.235,0.3,1.4,0.231,0.1,0.4,0.25,0.324,0.3,0.4,0.75,0.1,0.7,0.8,0.0,0.0,0.0,0.1,0.7,1.6,52.0,0.0,0.373,0.765,0.235,2.0,13.1,7.3,0.0,0.0,0.0,5.1,15.8,0.0,-0.1,-0.092,-7.7,-5.0,-12.7,-0.1,2024,1,,,,,
83,Sidy Cissoko,569.0,SF,19.0,SAS,12.0,0.0,11.8,1.3,2.8,0.485,0.1,1.0,0.083,1.3,1.8,0.714,0.5,1.0,1.3,0.8,0.7,1.2,1.8,0.8,0.6,0.3,0.3,1.5,3.8,141.0,12.0,0.568,0.364,0.455,6.1,10.8,8.4,9.4,2.4,1.8,7.0,12.7,0.1,0.3,0.11,-4.0,1.4,-2.7,0.0,2024,1,,,,,
84,Taylor Hendricks,345.0,PF,20.0,UTA,40.0,23.0,21.4,2.7,6.0,0.45,1.3,3.5,0.379,1.4,2.5,0.55,0.56,0.6,0.7,0.793,1.2,3.5,4.6,0.8,0.7,0.8,0.7,1.9,7.3,856.0,11.8,0.578,0.583,0.121,6.0,17.7,11.9,5.0,1.6,3.1,9.7,13.7,0.6,1.2,0.07,-1.3,-0.4,-1.6,0.1,2024,1,,,,,
85,Taze Moore,510.0,SG,25.0,POR,4.0,0.0,10.0,2.0,4.8,0.421,0.3,1.8,0.143,1.8,3.0,0.583,0.447,0.3,0.5,0.5,1.0,1.0,2.0,1.3,0.5,0.0,0.8,1.0,4.5,40.0,11.8,0.453,0.368,0.105,10.6,11.9,11.2,20.4,2.5,0.0,13.1,24.3,0.0,0.0,-0.017,-2.5,-0.6,-3.1,0.0,2024,1,,,,,
86,Terquavion Smith,603.0,PG,21.0,PHI,16.0,0.0,5.3,1.1,2.9,0.391,0.8,2.2,0.371,0.3,0.7,0.455,0.533,0.2,0.3,0.6,0.0,0.3,0.3,0.8,0.5,0.0,0.4,0.5,3.3,84.0,14.8,0.539,0.761,0.109,0.0,5.4,2.6,22.1,4.7,0.0,12.7,28.4,0.1,0.1,0.05,0.3,0.5,0.8,0.1,2024,1,,,,,
87,Tosan Evbuomwan,361.0,SF,22.0,MEM,17.0,8.0,22.5,2.5,4.3,0.571,0.8,2.0,0.417,1.7,2.5,0.688,0.661,1.3,1.9,0.68,2.0,2.8,3.5,1.5,0.5,0.3,0.6,1.4,7.0,293.0,10.9,0.679,0.533,0.446,11.4,13.9,10.3,10.9,1.0,1.3,10.7,10.9,0.1,0.5,0.085,-1.9,-0.3,-2.2,0.0,2024,1,,,,,
88,Toumani Camara,331.0,PF,23.0,POR,70.0,49.0,24.8,2.8,6.3,0.45,0.8,2.5,0.337,2.0,3.8,0.523,0.516,1.1,1.4,0.758,2.0,2.9,4.9,1.2,0.9,0.5,1.2,2.5,7.5,1739.0,10.6,0.547,0.393,0.226,8.4,14.0,11.0,7.2,1.9,1.7,14.9,13.8,1.4,2.0,0.055,-3.1,0.0,-3.1,-0.5,2024,1,,,,,
89,Trayce Jackson-Davis,314.0,PF,23.0,GSW,68.0,16.0,16.6,3.4,4.9,0.702,0.0,0.0,0.0,3.4,4.9,0.704,0.702,1.1,1.9,0.561,2.0,3.0,5.0,1.2,0.4,1.1,0.7,1.6,7.9,1130.0,21.6,0.692,0.003,0.398,13.1,19.4,16.3,10.4,1.2,6.1,11.2,16.4,1.6,4.8,0.205,1.5,1.2,2.8,1.4,2024,1,,,,,
90,Trey Jemison,338.0,C,24.0,WAS,25.0,14.0,24.9,3.3,5.9,0.551,0.0,0.0,0.0,3.3,5.9,0.551,0.551,0.9,1.1,0.84,2.8,3.0,5.8,1.2,0.5,1.2,1.4,3.0,7.4,572.0,11.9,0.582,0.0,0.184,11.8,100.0,53.5,7.1,1.0,4.6,100.0,42.1,0.6,0.9,0.075,-4.7,-0.4,-5.1,0.0,2024,1,,,,,
91,Vasilije Micić,222.0,PG,30.0,OKC,60.0,21.0,27.2,4.1,9.3,0.437,1.1,3.6,0.294,3.0,5.7,0.565,0.495,1.6,1.9,0.839,0.4,1.7,2.1,6.2,0.7,0.1,2.3,1.5,10.8,815.0,11.9,0.532,0.495,0.209,1.7,7.3,4.4,33.5,1.3,0.8,22.6,20.3,0.3,0.2,0.021,-1.9,-1.4,-4.4,-0.3,2024,1,,,,,
92,Victor Wembanyama,47.0,C,20.0,SAS,71.0,71.0,29.7,7.8,16.7,0.465,1.8,5.5,0.325,6.0,11.2,0.534,0.519,4.1,5.2,0.796,2.3,8.4,10.6,3.9,1.2,3.6,3.7,2.2,21.4,2106.0,23.1,0.565,0.332,0.309,8.2,30.7,19.4,21.5,2.0,10.0,16.2,32.2,4.4,3.7,0.085,1.9,3.3,5.2,3.8,2024,1,,,,,
