,player,pos,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,season,experience,svm_distance,norm_svm_dist_score,first,share,pca_distance
66,Olivier-Maxence Prosper,PF,21,DAL,33,0,7.9,0.8,2.2,0.351,0.2,1.0,0.235,0.5,1.2,0.45,0.405,0.7,1.0,0.676,0.5,1.3,1.9,0.6,0.2,0.1,0.2,0.5,2.5,260,10.4,0.467,0.459,0.459,7.5,18.6,13.1,9.2,0.9,1.0,5.3,15.4,0.2,0.3,0.058,-2.4,-1.3,-3.8,-0.1,2024,1,-14.940965337712427,-1.309509210206924,0.0,0.0,0.01995729188742
67,Duop Reath,C,27,POR,45,13,17.4,3.3,7.1,0.469,1.3,3.6,0.36,2.0,3.5,0.583,0.561,1.0,1.4,0.694,1.5,2.4,3.8,1.1,0.5,0.6,0.8,2.5,8.9,782,15.9,0.579,0.513,0.194,9.1,16.4,12.5,9.9,1.4,3.1,9.2,20.8,0.8,1.8,0.108,0.1,-0.4,-0.3,0.3,2024,1,-10.057192852144391,3.574263275361112,0.0,0.0,0.0378365188517784
68,Rayan Rupert,SG,19,POR,18,0,7.4,0.9,2.6,0.348,0.4,1.1,0.421,0.4,1.5,0.296,0.435,0.4,0.6,0.7,0.5,0.8,1.3,0.7,0.2,0.0,0.4,0.5,2.6,133,8.9,0.466,0.413,0.217,7.2,13.6,10.2,14.2,1.1,0.0,12.2,18.4,0.1,0.0,0.007,-3.2,-2.4,-5.5,-0.1,2024,1,-14.813663989662905,-1.182207862157398,0.0,0.0,0.0225884279131347
69,Jermaine Samuels,SF,25,HOU,11,0,4.8,0.7,1.0,0.727,0.0,0.2,0.0,0.7,0.8,0.889,0.727,0.2,0.2,1.0,0.2,0.8,1.0,0.2,0.1,0.1,0.0,0.4,1.6,53,15.2,0.758,0.182,0.182,4.0,18.1,11.0,5.4,0.9,1.7,0.0,9.5,0.1,0.2,0.192,-0.3,1.2,0.9,0.0,2024,1,-17.169309662328196,-3.537853534822691,0.0,0.0,0.0478150805158035
70,Adama Sanogo,PF,21,CHI,3,0,3.7,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.7,1.0,0.667,0.7,1.3,2.0,0.0,0.0,0.0,0.3,0.0,2.7,11,32.6,0.926,0.0,1.0,19.7,41.7,30.4,0.0,0.0,0.0,18.8,21.2,0.0,0.1,0.28,9.0,1.7,10.7,0.0,2024,1,-17.743984208250623,-4.112528080745118,0.0,0.0,0.087092657630535
71,Gui Santos,PF,21,GSW,15,0,9.2,1.3,2.5,0.5,0.5,1.1,0.412,0.8,1.4,0.571,0.592,0.9,1.0,0.933,1.0,1.9,2.9,0.7,0.2,0.1,0.5,1.1,3.9,138,16.4,0.661,0.447,0.395,11.8,21.7,16.7,9.6,1.0,1.3,13.6,15.6,0.1,0.5,0.168,0.5,-0.1,0.4,0.1,2024,1,-14.424512680829103,-0.7930565533235985,0.0,0.0,0.0406680529619032
72,Marcus Sasser,PG,23,DET,51,0,16.4,2.9,6.2,0.459,1.2,2.8,0.41,1.7,3.4,0.5,0.552,0.7,0.8,0.854,0.1,1.4,1.6,3.0,0.6,0.2,1.0,1.4,7.6,838,13.6,0.574,0.453,0.129,0.9,10.0,5.4,26.7,1.7,0.8,13.4,19.6,0.3,1.1,0.065,-0.3,-0.8,-1.1,0.2,2024,1,-10.80556456162693,2.8258915658785746,0.0,0.0,0.0281607558761934
73,Brice Sensabaugh,SF,20,UTA,11,0,8.0,1.1,2.7,0.4,0.6,1.5,0.412,0.5,1.2,0.385,0.517,0.3,0.3,1.0,0.1,0.7,0.8,0.4,0.1,0.0,0.8,1.0,3.1,88,3.2,0.543,0.567,0.1,1.3,9.9,5.6,6.1,0.5,0.0,22.3,19.0,0.0,-0.1,-0.082,-6.5,-3.4,-9.8,-0.2,2024,1,-14.444674780911257,-0.81321865340575,0.0,0.0,0.0185979016147084
74,Ben Sheppard,SG,22,IND,37,0,11.6,1.4,3.3,0.41,0.8,2.2,0.337,0.6,1.1,0.564,0.525,0.4,0.5,0.824,0.2,1.1,1.3,0.8,0.5,0.1,0.2,1.4,3.8,428,9.2,0.548,0.68,0.139,1.9,10.8,6.3,7.9,2.2,0.4,5.1,13.3,0.2,0.5,0.061,-3.2,0.1,-3.1,-0.1,2024,1,-13.832864194816542,-0.2014080673110374,0.0,0.0,0.0170366531780504
75,Dmytro Skapintsev,C,25,NYK,2,0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,-19.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.4,0.0,0.0,-0.479,-16.2,-9.9,-26.1,0.0,2024,1,-16.16856553342481,-2.5371094059193062,0.0,0.0,0.0923459785063869
76,Jalen Slawson,SF,24,SAC,5,0,3.8,0.4,0.6,0.667,0.0,0.2,0.0,0.4,0.4,1.0,0.667,0.0,0.0,0.0,0.0,0.8,0.8,0.4,0.0,0.2,0.4,0.6,0.8,19,5.5,0.667,0.333,0.0,0.0,24.4,11.9,13.1,0.0,4.7,40.0,11.2,0.0,0.0,-0.012,-7.1,1.2,-5.9,0.0,2024,1,-17.074723590784558,-3.443267463279053,0.0,0.0,0.0324472672067432
77,Nick Smith Jr.,SG,19,CHO,37,0,15.5,2.4,5.9,0.406,1.4,3.1,0.451,1.0,2.8,0.356,0.523,0.3,0.4,0.846,0.4,1.0,1.5,1.2,0.2,0.2,0.9,1.2,6.4,573,8.5,0.534,0.521,0.06,3.0,7.7,5.3,11.4,0.6,1.1,12.6,19.4,0.0,-0.2,-0.02,-2.5,-2.6,-5.2,-0.5,2024,1,-12.129512877604528,1.501943249900977,0.0,0.0,0.0170536029515805
78,Terquavion Smith,PG,21,PHI,12,0,5.8,1.3,3.3,0.4,1.0,2.6,0.387,0.3,0.8,0.444,0.55,0.2,0.3,0.667,0.0,0.2,0.2,0.8,0.6,0.0,0.3,0.3,3.8,69,18.1,0.557,0.775,0.075,0.0,3.2,1.6,22.5,4.9,0.0,8.8,28.0,0.1,0.1,0.099,3.4,0.8,4.2,0.1,2024,1,-14.750646220247072,-1.119190092741567,0.0,0.0,0.0378938849706462
79,Pat Spencer,PG,27,GSW,1,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.0,-1.5,-8.5,0.0,2024,1,-17.42156739760711,-3.7901112701016046,0.0,0.0,0.0693369295424721
80,Julian Strawther,SF,21,DEN,39,0,12.7,1.9,5.1,0.375,1.0,3.2,0.304,0.9,1.9,0.493,0.47,0.5,0.6,0.72,0.1,1.2,1.3,1.1,0.4,0.2,0.4,1.2,5.3,495,8.9,0.488,0.625,0.125,0.9,10.5,5.8,10.9,1.7,1.2,7.5,20.0,0.5,0.3,0.028,-4.2,-1.1,-5.3,-0.4,2024,1,-12.711578931754383,0.9198771957511216,0.0,0.0,0.0056475206846283
81,Amen Thompson,SF,21,HOU,41,6,19.6,3.1,6.2,0.502,0.2,1.1,0.149,3.0,5.1,0.582,0.516,1.4,2.1,0.644,1.8,3.8,5.6,2.3,1.2,0.6,1.5,2.3,7.8,802,16.0,0.544,0.184,0.341,9.9,20.8,15.3,17.4,3.0,2.8,17.0,18.7,1.6,1.9,0.113,-1.6,2.8,1.2,0.7,2024,1,-8.942148199146507,4.689307928358998,0.0,0.0,0.0401725905457908
82,Ausar Thompson,SF,21,DET,60,35,24.9,3.7,7.6,0.489,0.3,1.7,0.186,3.4,5.9,0.577,0.51,1.1,1.9,0.595,2.1,4.4,6.4,1.9,1.1,0.9,1.4,2.8,8.8,1494,12.9,0.526,0.225,0.244,9.0,20.0,14.4,10.7,2.1,3.1,13.9,16.5,1.5,1.6,0.051,-2.7,0.7,-2.0,0.0,2024,1,-7.366288559253065,6.26516756825244,0.0,0.0,0.0505506660470822
83,Jacob Toppin,SF,23,NYK,8,0,4.6,0.6,1.1,0.556,0.1,0.5,0.25,0.5,0.6,0.8,0.611,0.3,0.3,1.0,0.4,0.5,0.9,0.4,0.0,0.1,0.1,0.4,1.6,37,14.6,0.658,0.444,0.222,9.0,12.1,10.5,11.2,0.0,2.5,9.2,12.6,0.0,0.1,0.161,0.7,-1.3,-0.6,0.0,2024,1,-16.713329533709427,-3.081873406203922,0.0,0.0,0.0471928952085731
84,Oscar Tshiebwe,PF,24,IND,8,0,5.3,1.3,2.5,0.5,0.0,0.0,0.0,1.3,2.5,0.5,0.5,0.8,1.0,0.75,1.0,1.0,2.0,0.3,0.3,0.1,0.0,0.4,3.3,42,24.6,0.553,0.0,0.4,21.6,22.0,21.8,6.5,2.2,1.9,0.0,23.3,0.0,0.2,0.212,4.5,-2.3,2.2,0.0,2024,1,-16.06224851412478,-2.4307923866192738,0.0,0.0,0.0358625015485785
85,Hunter Tyson,PF,23,DEN,10,0,3.0,0.2,1.0,0.2,0.1,0.8,0.125,0.1,0.2,0.5,0.25,0.0,0.0,0.0,0.1,0.7,0.8,0.1,0.0,0.0,0.2,0.6,0.5,30,-5.1,0.25,0.8,0.0,3.8,25.4,14.8,3.9,0.0,0.0,16.7,17.4,0.0,-0.1,-0.177,-12.9,-3.7,-16.7,-0.1,2024,1,-16.27414796858118,-2.642691841075674,0.0,0.0,0.0520541585199982
86,Sasha Vezenkov,PF,28,SAC,35,0,12.6,2.1,4.7,0.448,1.1,2.9,0.38,1.0,1.9,0.554,0.564,0.3,0.4,0.769,0.9,1.6,2.5,0.4,0.5,0.2,0.3,1.0,5.6,440,13.6,0.574,0.606,0.079,7.5,14.8,11.1,4.6,1.8,1.4,6.1,17.6,0.4,0.8,0.091,0.0,-1.1,-1.2,0.1,2024,1,-13.30165794356448,0.3297981839410262,0.0,0.0,0.0313983325978699
87,Jarace Walker,PF,20,IND,20,0,10.4,1.5,3.8,0.395,0.7,1.9,0.378,0.8,2.0,0.41,0.487,0.3,0.4,0.857,0.4,1.5,1.9,1.4,0.6,0.5,0.6,1.0,4.0,207,12.7,0.506,0.487,0.092,4.4,16.7,10.5,15.7,2.7,3.4,13.2,18.3,0.2,0.2,0.047,-0.7,1.0,0.3,0.1,2024,1,-13.563170668690276,0.0682854588152288,0.0,0.0,0.0197437020473328
88,Cason Wallace,SG,20,OKC,60,9,20.5,2.6,5.1,0.507,1.2,2.8,0.417,1.4,2.3,0.616,0.621,0.4,0.5,0.793,0.6,1.6,2.3,1.4,0.8,0.4,0.4,1.6,6.7,1227,11.9,0.632,0.549,0.095,3.5,8.5,6.1,8.3,1.8,1.9,7.5,12.2,1.4,3.1,0.122,-0.7,0.6,-0.1,0.6,2024,1,-10.840216422808798,2.7912397046967072,0.0,0.0,0.0362230176839804
89,Jordan Walsh,SF,19,BOS,4,0,8.3,0.3,1.3,0.2,0.0,0.8,0.0,0.3,0.5,0.5,0.2,0.0,0.0,0.0,0.5,2.3,2.8,0.5,0.5,0.3,0.5,1.3,0.5,33,3.9,0.2,0.6,0.0,6.9,27.6,17.8,6.9,3.0,2.7,28.6,9.2,0.1,0.0,0.001,-9.2,3.7,-5.5,0.0,2024,1,-15.43617404017041,-1.8047179126649056,0.0,0.0,0.0460408629205989
90,Victor Wembanyama,C,20,SAS,55,55,28.7,7.6,16.2,0.47,1.7,5.0,0.333,5.9,11.2,0.532,0.522,4.0,4.9,0.815,2.2,8.1,10.2,3.4,1.3,3.4,3.4,2.2,20.9,1579,23.2,0.569,0.31,0.303,8.0,30.9,19.3,19.7,2.2,10.0,15.7,31.8,3.1,2.7,0.081,1.7,2.8,4.5,2.6,2024,1,1.566955049662818,15.198411177168325,0.0,0.0,0.1295412035748529
91,Cam Whitmore,SF,19,HOU,34,1,17.4,4.3,9.3,0.463,1.6,4.4,0.365,2.7,4.9,0.551,0.549,1.6,2.4,0.671,0.7,2.9,3.7,0.5,0.6,0.3,1.0,1.4,11.8,590,16.6,0.571,0.47,0.26,4.5,18.1,11.3,4.5,1.7,1.6,8.8,27.7,0.9,1.0,0.079,0.7,-0.4,0.3,0.3,2024,1,-9.046502630524271,4.584953496981232,0.0,0.0,0.0373392795940628
92,Jalen Wilson,PF,23,BRK,22,1,14.1,1.7,3.6,0.463,0.6,1.5,0.438,1.0,2.2,0.479,0.55,0.9,1.0,0.905,1.0,1.5,2.5,1.1,0.3,0.0,0.2,1.1,4.9,310,13.0,0.6,0.4,0.263,7.5,11.6,9.4,10.9,1.0,0.3,5.3,13.1,0.2,0.8,0.128,-0.2,-0.9,-1.1,0.1,2024,1,-13.533134080572886,0.0983220469326191,0.0,0.0,0.0316633012380216
