Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP,Player-additional
22,LaMelo Ball,PG,22,CHO,22,711,20.6,.561,.466,.246,4.3,14.0,8.9,42.1,2.7,0.5,15.0,33.6,,0.6,0.4,1.0,.068,,3.5,-0.7,2.8,0.9,ballla01
23,Mo Bamba,C,25,PHI,24,215,21.3,.636,.254,.296,17.0,20.4,18.7,8.6,2.3,7.7,15.7,18.8,,0.4,0.4,0.9,.192,,0.7,1.3,2.1,0.2,bambamo01
24,Paolo Banchero,PF,21,ORL,45,1564,16.6,.536,.229,.412,3.7,19.4,11.5,23.2,1.4,1.6,13.0,30.0,,0.0,2.3,2.2,.068,,0.6,0.0,0.7,1.1,banchpa01
25,Desmond Bane,SG,25,MEM,37,1277,18.9,.597,.460,.201,2.8,12.0,7.3,27.9,1.4,1.4,11.6,28.7,,1.6,1.4,3.0,.113,,3.4,0.1,3.5,1.8,banede01
26,Dalano Banton,PG,24,BOS,21,150,10.9,.511,.279,.419,8.9,14.3,11.7,11.3,1.6,1.8,15.0,17.2,,0.0,0.2,0.3,.087,,-4.5,0.8,-3.8,-0.1,bantoda01
27,Dominick Barlow,PF,20,SAS,19,244,13.3,.502,.103,.324,9.5,18.8,14.1,11.0,1.5,3.5,4.9,14.0,,0.2,0.2,0.4,.088,,-2.4,0.1,-2.3,0.0,barlodo01
28,Harrison Barnes,PF,31,SAC,43,1262,11.7,.634,.551,.280,3.2,7.8,5.4,5.4,1.1,0.5,7.2,14.4,,1.8,0.7,2.5,.095,,-0.7,-1.2,-1.9,0.0,barneha02
29,Scottie Barnes,SG,22,TOR,45,1582,19.7,.573,.343,.256,7.0,19.4,13.1,24.0,1.8,3.8,13.0,24.7,,1.9,1.9,3.8,.115,,3.1,1.2,4.3,2.5,barnesc01
30,RJ Barrett,SG,23,TOT,39,1203,15.5,.562,.311,.335,3.0,15.7,9.3,13.8,0.8,1.0,9.5,26.0,,1.0,1.1,2.2,.086,,0.1,-1.3,-1.3,0.2,barrerj01
30,RJ Barrett,SG,23,NYK,26,766,14.1,.536,.335,.320,2.8,13.1,8.0,12.6,0.8,1.1,9.6,27.1,,0.4,0.8,1.2,.073,,-0.6,-1.6,-2.2,0.0,barrerj01
30,RJ Barrett,SG,23,TOR,13,437,17.9,.615,.262,.366,3.5,20.1,11.6,15.8,0.9,1.0,9.4,24.0,,0.7,0.3,1.0,.109,,1.3,-0.9,0.4,0.3,barrerj01
31,Charles Bassey,C,23,SAS,19,205,17.6,.739,.025,.150,11.9,28.2,19.9,14.0,1.8,7.2,26.0,11.8,,0.3,0.3,0.6,.146,,-2.0,3.0,1.1,0.2,bassech01
32,Emoni Bates,SF,20,CLE,10,76,3.7,.348,.800,.080,1.5,12.9,7.3,9.9,0.6,2.4,3.7,15.3,,-0.1,0.1,0.0,-0.016,,-5.4,-0.7,-6.1,-0.1,batesem01
33,Keita Bates-Diop,SF,28,PHO,34,535,11.2,.510,.422,.252,6.1,13.0,9.8,7.8,1.9,2.6,5.7,12.9,,0.4,0.6,1.0,.086,,-1.7,0.2,-1.6,0.1,bateske01
34,Nicolas Batum,PF,35,TOT,32,796,12.1,.703,.721,.109,5.4,11.6,8.5,11.9,1.4,2.8,12.9,8.3,,1.4,1.0,2.4,.144,,0.3,1.0,1.4,0.7,batumni01
34,Nicolas Batum,PF,35,LAC,3,54,9.8,.500,.875,.000,0.0,14.3,7.4,11.0,2.7,6.7,11.1,7.3,,0.0,0.1,0.1,.100,,-1.5,4.3,2.9,0.1,batumni01
34,Nicolas Batum,PF,35,PHI,29,742,12.3,.716,.711,.116,5.8,11.4,8.6,11.9,1.3,2.5,13.0,8.4,,1.4,0.9,2.3,.147,,0.5,0.8,1.3,0.6,batumni01
35,Bradley Beal,SG,30,PHO,21,684,14.7,.587,.288,.205,3.0,11.5,7.5,19.2,1.2,1.0,13.1,23.2,,0.6,0.5,1.1,.075,,-0.7,-1.4,-2.2,0.0,bealbr01
36,Malik Beasley,SG,27,MIL,43,1263,11.5,.660,.715,.044,2.5,11.9,7.4,5.9,1.1,0.3,7.5,13.4,,1.7,0.8,2.5,.095,,0.1,-0.9,-0.8,0.4,beaslma01
37,MarJon Beauchamp,SF,23,MIL,34,534,8.4,.574,.459,.148,4.3,12.6,8.6,6.8,1.0,0.9,14.3,13.3,,0.1,0.3,0.4,.040,,-2.6,-1.0,-3.7,-0.2,beaucma01
38,Jules Bernard,SG,24,WAS,4,16,-15.3,.111,.778,.000,6.6,0.0,3.3,7.5,0.0,0.0,10.0,26.4,,-0.2,0.0,-0.2,-0.511,,-19.6,-8.7,-28.3,-0.1,bernaju01
39,Dāvis Bertāns,PF,31,OKC,14,91,17.2,.675,.923,.577,2.6,9.3,6.2,12.0,1.6,3.1,3.0,16.0,,0.3,0.1,0.4,.227,,3.2,0.8,4.0,0.1,bertada01
40,Patrick Beverley,PG,35,PHI,40,742,10.6,.528,.492,.271,3.9,14.2,9.1,18.2,1.4,1.6,14.4,13.5,,0.5,0.9,1.4,.088,,-2.0,0.4,-1.6,0.1,beverpa01
41,Saddiq Bey,SF,24,ATL,45,1459,12.2,.543,.532,.256,8.0,13.7,10.8,5.9,1.4,0.4,7.2,16.0,,1.6,0.4,2.0,.066,,-0.5,-1.9,-2.3,-0.1,beysa01
42,Goga Bitadze,C,24,ORL,39,807,18.5,.641,.056,.380,13.4,21.9,17.6,11.7,1.6,6.9,12.9,12.8,,1.7,1.6,3.3,.196,,-0.1,2.9,2.8,1.0,bitadgo01
43,Onuralp Bitim,SG,24,CHI,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.001,,-7.3,-3.4,-10.7,0.0,bitimon01
44,Bismack Biyombo,C,31,MEM,30,718,9.9,.560,.000,.387,8.4,21.1,14.6,9.9,0.7,4.4,21.4,10.6,,0.1,1.0,1.1,.074,,-4.8,1.6,-3.2,-0.2,biyombi01
45,Anthony Black,PG,20,ORL,42,814,8.4,.563,.354,.335,3.3,10.8,7.0,12.0,1.6,1.7,17.5,12.0,,0.1,1.0,1.2,.068,,-4.1,1.2,-2.8,-0.2,blackan01
46,Leaky Black,SF,24,CHO,14,80,13.8,.611,.353,.353,6.6,16.3,11.2,8.5,1.8,4.5,9.2,11.7,,0.1,0.1,0.2,.098,,-1.4,0.1,-1.2,0.0,blackle01
47,Bogdan Bogdanović,SG,31,ATL,43,1216,15.4,.564,.597,.141,2.0,10.3,6.0,13.7,2.3,0.6,6.8,23.4,,1.6,0.6,2.1,.083,,1.0,-0.6,0.4,0.7,bogdabo01
48,Bojan Bogdanović,PF,34,DET,23,761,14.0,.594,.475,.234,1.9,10.4,6.0,12.3,1.3,0.3,11.4,24.4,,0.4,0.2,0.5,.035,,0.1,-2.4,-2.3,-0.1,bogdabo02
49,Bol Bol,PF,24,PHO,12,86,22.3,.813,.217,.217,12.8,22.8,18.1,10.4,1.7,6.2,19.2,15.7,,0.2,0.1,0.4,.212,,2.8,2.1,5.0,0.2,bolbo01
50,Marques Bolden,C,25,MIL,2,3,3.1,,,,0.0,70.0,36.4,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.098,,-7.9,2.1,-5.7,0.0,boldema01
51,Devin Booker,PG,27,PHO,36,1300,23.1,.619,.303,.362,2.3,12.7,7.8,34.3,1.2,0.9,10.9,30.7,,4.1,1.0,5.1,.188,,4.4,-1.2,3.2,1.7,bookede01
52,Brandon Boston Jr.,SF,22,LAC,9,61,13.0,.533,.424,.182,7.7,9.0,8.4,9.8,0.8,0.0,7.8,27.6,,0.0,0.0,0.1,.062,,-3.1,-4.2,-7.3,-0.1,bostobr01
53,Chris Boucher,PF,31,TOR,42,597,14.9,.587,.444,.392,9.4,22.4,15.8,4.1,1.1,2.8,7.9,17.2,,0.8,0.6,1.4,.113,,-0.9,-1.3,-2.2,0.0,bouchch01
54,James Bouknight,SG,23,CHO,11,71,17.2,.610,.722,.056,1.5,13.3,7.1,13.6,0.0,1.3,2.6,23.1,,0.1,0.0,0.1,.090,,6.1,-2.4,3.7,0.1,bouknja01
55,Jamaree Bouyea,PG,24,POR,6,57,-4.7,.238,.381,.000,3.7,16.9,9.8,19.4,0.0,0.0,27.6,21.5,,-0.4,0.0,-0.4,-0.298,,-13.2,-4.9,-18.0,-0.2,bouyeja01
56,Malaki Branham,PG,20,SAS,42,880,8.3,.513,.394,.082,1.4,8.8,5.1,15.2,1.0,0.5,12.5,18.6,,-0.6,0.2,-0.4,-0.022,,-4.0,-2.1,-6.1,-0.9,branhma01
57,Christian Braun,SG,22,DEN,46,873,11.5,.543,.313,.291,4.5,16.2,10.5,9.9,1.0,1.8,9.9,17.1,,0.5,0.9,1.4,.075,,-2.2,-0.6,-2.8,-0.2,braunch01
58,Mikal Bridges,SF,27,BRK,44,1534,16.4,.571,.372,.300,2.6,13.6,7.9,16.6,1.3,1.2,10.9,26.1,,1.4,1.1,2.5,.080,,1.1,-1.0,0.2,0.8,bridgmi01
59,Miles Bridges,SF,25,CHO,32,1182,15.0,.562,.377,.186,2.2,20.3,10.8,12.4,1.4,1.1,10.1,24.2,,0.2,0.6,0.8,.033,,-0.4,-1.4,-1.8,0.1,bridgmi02
60,Oshae Brissett,SF,25,BOS,27,317,14.2,.577,.402,.463,10.9,16.1,13.6,7.0,1.9,0.6,8.4,14.6,,0.6,0.5,1.1,.160,,-1.0,0.7,-0.3,0.1,brissos01
61,Malcolm Brogdon,PG,31,POR,35,979,17.0,.560,.405,.232,2.4,12.4,7.0,31.2,1.1,0.6,9.6,23.4,,1.6,0.5,2.2,.105,,2.7,-0.8,1.8,0.9,brogdma01
62,Armoni Brooks,PG,25,BRK,10,104,8.2,.448,.696,.043,7.0,11.7,9.3,6.7,0.5,0.9,6.0,20.5,,-0.1,0.0,0.0,-0.017,,-2.2,-3.6,-5.9,-0.1,brookar01
63,Dillon Brooks,SF,28,HOU,35,1094,10.2,.584,.444,.207,2.4,9.4,5.9,7.2,1.5,0.3,11.4,18.3,,0.3,1.2,1.5,.066,,-3.1,0.1,-3.0,-0.3,brookdi01
64,Bruce Brown,SG-PG,27,TOT,37,1081,11.9,.572,.319,.243,3.1,15.6,9.3,11.8,1.6,0.7,11.2,16.5,,0.8,0.6,1.4,.064,,-1.9,-0.6,-2.5,-0.1,brownbr01
64,Bruce Brown,SG,27,IND,33,981,12.0,.568,.322,.261,2.9,15.2,9.0,12.3,1.7,0.6,10.5,16.5,,0.9,0.5,1.4,.067,,-1.7,-0.6,-2.3,-0.1,brownbr01
64,Bruce Brown,PG,27,TOR,4,100,10.6,.612,.290,.065,5.4,19.1,12.1,6.9,1.0,1.7,18.0,16.6,,0.0,0.1,0.1,.035,,-3.9,-1.0,-4.9,-0.1,brownbr01
65,Charlie Brown Jr.,SG,26,NYK,3,5,-19.2,.375,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,50.9,,-0.1,0.0,-0.1,-0.722,,-18.1,-16.9,-35.0,0.0,brownch02
66,Greg Brown III,PF,22,DAL,6,40,10.4,.501,.273,.818,8.0,16.7,12.3,13.0,0.0,8.8,21.1,20.1,,0.0,0.0,0.0,-0.010,,-4.8,0.4,-4.4,0.0,browngr01
67,Jaylen Brown,SF,27,BOS,42,1403,18.2,.582,.339,.242,3.0,13.1,8.3,17.6,1.7,1.7,11.2,28.7,,1.4,2.1,3.4,.118,,0.9,0.3,1.1,1.1,brownja02
68,Kendall Brown,SG,20,IND,4,18,10.2,.524,.200,1.200,12.7,0.0,6.4,6.4,0.0,0.0,0.0,17.6,,0.0,0.0,0.0,.102,,-2.5,-3.4,-5.9,0.0,brownke03
69,Kobe Brown,PF,24,LAC,26,251,6.0,.492,.643,.036,2.8,12.7,8.0,7.4,1.2,1.1,6.6,10.6,,0.1,0.2,0.3,.056,,-4.4,0.5,-3.9,-0.1,brownko01
70,Moses Brown,C,24,POR,9,82,12.8,.395,.000,.190,23.0,41.2,31.5,3.5,1.2,3.3,14.9,13.8,,0.0,0.1,0.1,.046,,-4.9,-2.3,-7.1,-0.1,brownmo01
71,Troy Brown Jr.,SF,24,MIN,34,393,11.7,.607,.717,.195,4.3,15.0,10.0,11.6,1.0,0.4,12.8,15.7,,0.4,0.6,1.0,.118,,-0.2,0.6,0.4,0.2,browntr01
72,Jalen Brunson,PG,27,NYK,43,1530,21.4,.598,.338,.313,1.9,9.9,6.0,29.9,1.3,0.5,9.8,29.3,,4.4,1.6,5.9,.187,,4.8,-0.3,4.5,2.5,brunsja01
73,Thomas Bryant,C,26,MIA,24,256,15.3,.611,.052,.286,11.0,23.3,17.0,9.0,1.2,1.9,14.8,17.5,,0.3,0.3,0.6,.118,,-2.3,-0.6,-2.9,-0.1,bryanth01
74,Kobe Bufkin,SG,20,ATL,2,4,-10.2,.129,.333,.667,26.1,28.1,27.1,0.0,0.0,0.0,0.0,39.8,,0.0,0.0,0.0,-0.541,,-19.3,-13.2,-32.5,0.0,bufkiko01
75,Reggie Bullock,SF,32,HOU,18,166,7.8,.572,.737,.026,1.3,14.2,7.8,7.2,0.9,1.1,11.5,11.3,,0.0,0.2,0.2,.062,,-2.5,-0.1,-2.6,0.0,bullore01
76,Alec Burks,SG,32,DET,37,758,14.9,.576,.612,.318,2.2,10.4,6.2,10.7,1.0,1.0,5.8,24.1,,1.1,0.1,1.3,.080,,1.4,-2.1,-0.7,0.2,burksal01
77,Jared Butler,SG,23,WAS,17,128,21.1,.689,.480,.300,0.0,9.3,4.6,35.5,2.9,1.3,15.0,22.0,,0.4,0.1,0.4,.164,,3.1,0.5,3.6,0.2,butleja02
78,Jimmy Butler,PF,34,MIA,30,1006,21.0,.617,.158,.590,6.4,10.4,8.4,20.8,1.7,1.0,9.7,24.5,,2.8,1.0,3.9,.184,,3.2,-0.3,2.9,1.2,butleji01
79,Jamal Cain,PF,24,MIA,14,209,11.6,.538,.379,.288,6.4,9.5,7.9,2.1,2.1,1.9,5.1,16.6,,0.1,0.2,0.3,.080,,-2.5,0.0,-2.5,0.0,cainja01
80,Kentavious Caldwell-Pope,SG,30,DEN,44,1419,10.4,.588,.483,.202,1.6,6.4,4.1,9.2,2.2,1.3,10.7,12.9,,1.1,1.5,2.5,.085,,-2.4,0.7,-1.7,0.1,caldwke01
81,Toumani Camara,PF,23,POR,44,1069,9.1,.499,.423,.239,8.2,14.7,11.2,5.6,2.1,1.9,14.7,13.9,,-0.4,1.0,0.6,.028,,-4.5,0.1,-4.4,-0.6,camarto01
82,Clint Capela,C,29,ATL,43,1110,20.4,.591,.000,.350,19.0,24.6,21.7,5.4,1.1,5.5,8.6,16.4,,2.6,1.0,3.7,.158,,0.8,-1.1,-0.3,0.5,capelca01
83,Jevon Carter,PG,28,CHI,44,616,7.8,.475,.644,.021,0.9,5.4,3.1,12.3,1.7,1.8,8.7,18.8,,-0.5,0.5,0.0,-0.003,,-3.6,-0.6,-4.2,-0.4,carteje01
84,Wendell Carter Jr.,C,24,ORL,19,482,16.1,.634,.333,.313,8.4,22.3,15.2,9.6,1.1,2.1,11.6,16.9,,0.8,0.7,1.5,.151,,0.9,0.5,1.5,0.4,cartewe01
85,Alex Caruso,SG,29,CHI,39,1012,15.3,.639,.604,.205,4.1,11.3,7.6,14.5,2.6,3.9,14.2,15.6,,1.4,1.3,2.7,.129,,0.7,2.2,2.9,1.2,carusal01
86,Colin Castleton,C,23,LAL,5,32,19.2,.743,.000,.444,14.5,16.8,15.7,13.4,0.0,0.0,8.5,15.8,,0.1,0.0,0.2,.241,,0.2,-1.9,-1.7,0.0,castlco01
87,Malcolm Cazalon,SG,22,DET,1,3,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,-0.020,,-6.2,-3.2,-9.4,0.0,cazalma01
88,Julian Champagnie,SF,22,SAS,38,596,11.6,.596,.740,.193,2.5,13.0,7.7,8.8,1.8,2.7,12.1,15.7,,0.2,0.5,0.7,.055,,-1.3,-0.4,-1.7,0.1,champju02
89,Max Christie,SG,20,LAL,36,619,6.8,.517,.494,.192,1.7,15.1,8.6,7.8,1.1,1.3,14.6,13.8,,-0.4,0.6,0.1,.011,,-4.6,-0.6,-5.2,-0.5,chrisma02
90,Sidy Cissoko,SF,19,SAS,5,32,5.4,.387,.667,.667,0.0,20.4,10.1,0.0,4.4,0.0,11.4,11.5,,-0.1,0.0,0.0,-0.016,,-9.3,0.5,-8.8,-0.1,cissosi01
91,Jordan Clarkson,SG,31,UTA,36,1084,13.6,.530,.365,.247,3.8,9.4,6.6,25.5,1.0,0.4,14.5,27.5,,0.1,0.4,0.5,.024,,-0.5,-2.8,-3.3,-0.4,clarkjo01
92,Nic Claxton,C,24,BRK,34,1007,20.3,.645,.007,.326,11.0,26.9,18.7,8.9,1.2,6.7,10.3,15.6,,2.1,1.5,3.6,.173,,0.5,1.5,2.0,1.0,claxtni01
93,Noah Clowney,PF,19,BRK,2,27,18.5,.709,.111,.222,11.6,8.2,10.0,11.5,0.0,0.0,9.2,17.2,,0.1,0.0,0.1,.172,,0.2,-3.3,-3.1,0.0,clownno01
94,Amir Coffey,SF,26,LAC,31,490,9.3,.692,.516,.200,2.7,8.8,5.8,5.4,1.0,0.0,11.2,10.3,,0.7,0.3,1.0,.097,,-1.9,-0.6,-2.5,-0.1,coffeam01
95,John Collins,PF,26,UTA,42,1161,15.1,.597,.337,.223,8.3,22.3,15.4,5.4,1.0,2.5,11.0,19.7,,1.2,1.1,2.3,.094,,-0.7,-1.1,-1.8,0.1,collijo01
96,Zach Collins,C,26,SAS,36,911,13.3,.565,.355,.261,7.9,16.3,12.0,18.3,1.0,2.5,17.1,21.6,,0.1,0.6,0.7,.036,,-2.2,-0.7,-3.0,-0.2,colliza01
97,Mike Conley,PG,36,MIN,42,1228,15.2,.618,.646,.157,1.5,8.8,5.4,30.1,1.6,0.6,10.9,14.8,,2.9,1.8,4.7,.185,,1.9,1.3,3.2,1.6,conlemi01
98,Pat Connaughton,SF,31,MIL,39,823,9.3,.597,.724,.112,3.3,12.6,8.2,9.5,1.0,0.7,10.1,10.2,,0.8,0.5,1.3,.078,,-1.1,-0.3,-1.4,0.1,connapa01
99,Bilal Coulibaly,SF,19,WAS,43,1128,9.2,.561,.409,.275,3.2,13.4,8.2,8.7,1.5,2.4,16.2,13.8,,-0.3,0.5,0.3,.011,,-3.5,-0.6,-4.1,-0.6,coulibi01
100,Ricky Council IV,SG,22,PHI,5,21,13.5,.521,.250,1.000,5.3,0.0,2.6,0.0,2.3,0.0,0.0,23.3,,0.0,0.0,0.0,.100,,-2.7,-2.4,-5.1,0.0,councri01
101,Robert Covington,SF-PF,33,TOT,29,488,13.4,.580,.571,.265,7.1,14.8,11.0,6.1,3.9,3.2,9.1,10.5,,0.6,1.0,1.5,.151,,-1.0,3.3,2.3,0.5,covinro01
