Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
242,Damian Jones,C,28,CLE,20,0,6.3,0.8,1.4,.536,0.1,0.4,.286,0.7,1.1,.619,.571,0.4,0.4,.875,0.4,0.9,1.3,0.4,0.2,0.3,0.3,0.7,2.0,jonesda03
243,Derrick Jones Jr.,SF,26,DAL,43,42,25.8,3.7,7.7,.486,1.4,3.9,.349,2.3,3.7,.631,.576,1.3,1.8,.737,1.2,2.4,3.6,1.0,0.8,0.8,1.0,1.9,10.1,jonesde02
244,Herbert Jones,SF,25,NOP,42,42,28.7,3.9,7.9,.492,1.4,3.5,.390,2.5,4.5,.572,.578,1.8,2.1,.856,1.1,2.5,3.7,2.5,1.2,1.0,1.2,2.8,11.0,joneshe01
245,Tre Jones,PG,24,SAS,40,11,25.3,3.7,7.4,.502,0.6,2.2,.273,3.1,5.2,.598,.542,1.4,1.5,.902,0.7,2.4,3.1,5.5,1.0,0.1,1.4,1.3,9.4,jonestr01
246,Tyus Jones,PG,27,WAS,44,44,28.5,5.2,10.2,.504,1.6,3.8,.418,3.6,6.5,.554,.581,0.5,0.7,.733,0.3,2.6,2.9,6.2,1.2,0.3,0.8,0.8,12.4,jonesty01
247,DeAndre Jordan,C,35,DEN,22,1,12.4,1.7,2.7,.633,0.0,0.0,,1.7,2.7,.633,.633,0.9,2.1,.435,1.7,3.2,4.9,0.9,0.2,0.5,0.9,1.8,4.4,jordade01
248,Cory Joseph,PG,32,GSW,23,0,11.4,0.8,2.3,.333,0.4,1.5,.286,0.3,0.8,.421,.426,0.2,0.3,.571,0.2,0.9,1.1,1.6,0.2,0.1,0.5,0.9,2.2,josepco01
249,Nikola Jović,PF,20,MIA,18,12,17.6,2.1,5.1,.402,1.1,2.5,.422,1.0,2.6,.383,.505,0.6,1.1,.550,0.9,3.6,4.6,2.0,0.3,0.4,1.0,2.1,5.8,jovicni01
250,Johnny Juzang,SG,22,UTA,1,0,4.0,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,juzanjo01
251,Luke Kennard,SG,27,MEM,21,9,24.6,3.5,8.1,.433,2.7,6.3,.432,0.8,1.9,.436,.599,0.8,0.9,.895,0.4,2.8,3.2,3.1,0.5,0.0,1.0,1.0,10.6,kennalu01
252,Walker Kessler,C,22,UTA,38,13,23.8,3.7,5.8,.648,0.1,0.4,.250,3.6,5.3,.680,.658,0.8,1.6,.483,2.5,5.0,7.5,0.8,0.5,2.7,1.0,2.2,8.3,kesslwa01
253,Braxton Key,SF,26,DEN,13,0,3.4,0.4,1.1,.357,0.1,0.3,.250,0.3,0.8,.400,.393,0.3,0.4,.800,0.2,0.6,0.8,0.6,0.2,0.0,0.1,0.3,1.2,keybr01
254,Corey Kispert,SF,24,WAS,43,1,21.6,4.0,8.4,.478,1.9,5.1,.362,2.1,3.2,.662,.589,1.4,1.9,.775,0.3,1.9,2.2,1.4,0.3,0.2,1.0,1.5,11.3,kispeco01
255,Maxi Kleber,C,32,DAL,10,2,19.0,1.2,3.4,.353,0.5,2.0,.250,0.7,1.4,.500,.426,0.9,1.3,.692,0.8,2.6,3.4,1.8,0.2,0.7,0.9,2.3,3.8,klebima01
256,Kevin Knox,SF,24,DET,26,9,18.6,3.0,6.3,.470,1.2,3.3,.353,1.8,3.0,.595,.561,0.7,0.7,.895,0.6,1.9,2.5,0.7,0.4,0.3,0.6,1.6,7.7,knoxke01
257,John Konchar,SF,27,MEM,36,7,17.8,1.3,3.3,.395,0.6,2.0,.296,0.7,1.3,.542,.483,0.3,0.3,.750,1.1,2.8,3.9,1.6,0.8,0.9,0.6,1.1,3.4,konchjo01
258,Furkan Korkmaz,SG,26,PHI,28,0,7.0,0.6,1.8,.367,0.2,0.8,.261,0.4,0.9,.462,.429,0.3,0.4,.636,0.0,0.5,0.6,0.5,0.4,0.0,0.3,0.4,1.8,korkmfu01
